DataCode,DataValue,Datetime
LUX,5000,2022-06-05 12:49:35.772698
LUX,5000,2022-06-05 12:51:13.092107
LUX,5000,2022-06-05 12:51:37.317208
LUX,5000,2022-06-05 14:42:23.286344
LUX,5000,2022-06-05 14:54:03.992982
LUX,5000,2022-06-05 15:13:35.787681
LUX,5000,2022-06-05 15:15:30.504343
LUX,5000,2022-06-05 15:15:54.613462
LUX,5000,2022-06-05 15:16:02.473473
LUX,5000,2022-06-05 15:16:54.155985
LUX,5000,2022-06-05 15:16:59.786307
LUX,5000,2022-06-05 15:18:43.568430
LUX,5000,2022-06-05 15:18:49.262756
LUX,5000,2022-06-05 15:23:34.591482
LUX,5000,2022-06-05 15:24:44.532182
LUX,5000,2022-06-05 15:25:03.397606
